psraid,sample,int_date,version,cregion,usr,q6a,q6b,q7,pay1a,pay1b,pay1c,pay1d,pay1e,pay1f,pay1g,pay1h,pay1i,pay1j,pay1k,pay1l,pay1m,pay1n,pay1o,pay1p,pay2a,pay2b,pay2c,pay3,pay4,ql1,ql1a,qc1,hh1,emp,par,sex,age,educ,hisp,race,inc,activ75,activ87,activ112,income,iphoneuse,hphoneuse,recage,receduc,racethn,weight,standwt
200445,2,100810,2,3,U,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , ,1,2,1,2,1,64,5,2,1,6,3,3,3,3,2,2,5,3,1,2.94117647058824,.934415209490311
200453,2,100810,2,3,S,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,2,1,21,3,2,1,3, , , ,1,3,3,1,2,1,7,2.22390819858694
200455,2,100810,2,3,U,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2, ,0, , ,1,3,1,2,2,59,3,2,1,8,3,1,3,4,2,2,5,2,1,2.29411764705882,.728843863402443
200461,2,100810,2,2,U,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,2,57,5,2,1,4, , , ,2,2,2,5,3,1,1.64705882352941,.523272517314574
200477,2,100810,2,2,S,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8, , , , , , , ,1,3,4,2,1,21,5,2,2,2,3,1,3,1,2,2,1,3,2,1.82352941176471,.579337429883993
200478,2,100810,2,1,S,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,10,8, , ,1,4,1,2,2,26,6,2,1,6,2,1,1,3,2,2,2,4,1,2.23529411764706,.710155559212637
200485,2,100810,2,1,S,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , ,2,1,2,2,2,45,3,2,2,1,3,2,3,1,3,3,4,2,2,4.35294117647059,1.38293451004566
200493,2,100810,2,3,S,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , ,1,1,1,1,2,34,6,2,2,4,3,1,1,2,2,2,2,4,2,1.70588235294118,.541960821504381
200503,2,100810,2,3,U,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , ,1,2,1,1,1,51,6,2,1,6,3,3,3,3,2,2,4,4,1,2.17647058823529,.69146725502283
200506,2,100810,2,2,S,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,4, , ,1,4,4,1,2,24,3,2,1,2,2,1,3,1,2,2,1,2,1,2.52941176470588,.803597080161668
200508,2,100810,2,2,U,1,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2,2, , , , , , , ,1,2,3,2,2,54,3,2,1,4,3,2,3,2,2,2,4,2,1,5.23529411764706,1.66325907289275
200527,2,101010,2,2,S,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2, ,10, , ,1,2,1,1,1,36,6,2,1,8,2,3,3,4,2,2,3,4,1,2.64705882352941,.84097368854128
200532,2,100810,2,1, ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,1,45,3,2,2,99, , , ,9,2,2,4,2,2,4.17647058823529,1.32686959747624
200533,2,100810,2,2,U,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,12,12, , ,2,2,1,2,1,31,6,2,1,3,2,2,3,1,3,3,2,4,1,6.52941176470588,2.07440176506849
200551,2,100910,2,2,R,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,1,55,2,2,1,4, , , ,2,2,2,5,1,1,2.52941176470588,.803597080161668
200556,2,100810,2,2,S,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2, ,0, , ,2,5,4,1,1,18,5,2,2,1,3,1,1,1,3,3,1,3,2,5.05882352941176,1.60719416032334
200557,2,100810,2,3,U,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2, ,5, , ,2,1,1,2,2,49,6,2,1,7,2,3,3,4,3,3,4,4,1,6.58823529411765,2.0930900692583
200563,2,100810,2,3,S,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , ,1,3,1,1,1,45,5,2,1,6,3,3,3,3,2,2,4,3,1,2.70588235294118,.859661992731086
200579,2,100810,2,3,S,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8, ,0, , ,1,2,1,2,2,43,7,2,2,7,2,2,3,4,2,2,3,4,2,2.47058823529412,.784908775971862
200581,2,100810,2,3,S,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , ,2,4,1,2,2,23,3,2,1,99,3,3,3,2,3,3,1,2,1,4.35294117647059,1.38293451004566
200588,2,100810,2,3, ,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,0,0, , ,2,2,4,1,1,40,3,2,1,3,2,3,3,1,3,3,3,2,1,7.11764705882353,2.26128480696655
200591,2,100810,2,3,R,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , ,1,2,3,2,1,66,2,2,1,8,3,3,3,4,2,2,6,1,1,3.05882352941176,.971791817869924
200600,2,100810,2,3,U,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2, ,0, , ,2,2,1,2,1,25,6,2,1,7,3,2,3,4,3,3,2,4,1,4.76470588235294,1.5137526393743
200613,2,100810,2,3,U,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , ,1,2,1,2,2,51,5,2,2,8,3,3,3,4,2,2,4,3,2,1.70588235294118,.541960821504381
200636,2,100810,2,3,S,1,1,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,2, ,0, , ,2,2,1,1,2,28,3,2,1,4,2,1,3,2,3,3,2,2,1,8,2.54160936981365
200639,2,100910,2,3,U,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,2,1,77,2,2,2,99, , , ,1,2,2,6,1,2,2.23529411764706,.710155559212637
