Unique ID,Sample type,Interview date,Q.Revised  REVISIONS TO QUESTIONNAIRE.,Census Region - from zip merge,Community type from zip merge - alpha,"Q6a Do you use the internet, at least occasionally?","Q6b Do you send or receive email, at least occasionally?",Do you use Internet,Q7 Did you happen to use the internet YESTERDAY?,PAY1a .Music,PAY1b .OnlineStreaming,PAY1c .Photos,PAY1d .Reading Articles,PAY1e .e-Book,PAY1f .Games,PAY1g .OnlineGameItems,PAY1h .OnlineGamesCheats,PAY1i .Podcasts,PAY1j .Ringtones,PAY1k .Software,PAY1l .MobileApps,PAY1m .ExclusiceWebsites,PAY1n .PremiumContent,PAY1o .Adult content,PAY1p .Others,PAY2a ForDownload,PAY2b ForStreaming,PAY2c ForSubscription,Payflag,PAY3 PastYearlyPayment,PAY4 AvgMonthlyPayment,L1  working cellphone,L1a HouseHold working cellphone,C1 AnyLandline,HH1 How many adults,EMP  Status,PAR Are you the parent or guardian of any children under 18 years of age?,Sex,Age,Education,Hispanic,Race/Ethnicity,Income,ACTIV75. Do you ever use the internet to -- PAY to access or download digital content ,ACTIV87. Do you ever use the internet to -- Use a social networking ,ACTIV112. Do you ever use the internet to -- Use Twitter or another service to share updates ,Income Summary,Individual telephone use,Household telephone use,Recoded age,Recoded education,Race/Ethnicity,Final weight,Standardized Weight
100854,Landline,100910,10/08 - client changes,Northeast,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,1,,Don’t know,"Yes, have cell phone",,,2,Employed full-time,No,Male,68,"Post graduate or professional schooling after college (including work towards an MA, MS, Ph.D., JD, DDS, or MD degree)",No,White,"$150,000 or over",No,Yes/not yesterday,No,$75K+,Dual,Dual HH,65+,Coll+,White~Hisp,1.764705882,0.560649126
100885,Landline,100810,10/08 - client changes,Midwest,Urban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,1,,Nothing,"Yes, have cell phone",,,3,Employed part-time,Yes,Female,55,"College or university graduate (BA, BS or other four-year degree received)",No,White,"$75,000 to under $100,000",Yes/not yesterday,No,No,$75K+,Dual,Dual HH,55-64,Coll+,White~Hisp,2.235294118,0.710155559
100893,Landline,100810,10/08 - client changes,Northeast,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,1,,10,"Yes, have cell phone",,,2,Not employed,Yes,Female,37,"Post graduate or professional schooling after college (including work towards an MA, MS, Ph.D., JD, DDS, or MD degree)",No,White,"$50,000 to under $75,000",Yes/not yesterday,Yes/yesterday,No,$50K-LT $75K,Dual,Dual HH,35-44,Coll+,White~Hisp,2.823529412,0.897038601
100936,Landline,100810,10/08 - client changes,West,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,1,,Nothing,"Yes, have cell phone",,,2,Retired,No,Male,70,"High school graduate, Grade 12, or GED certificate",No,White,"$40,000 to under $50,000",No,Yes/not yesterday,No,$30K-LT $50k,Dual,Dual HH,65+,HS grad,White~Hisp,2.941176471,0.93441521
101010,Landline,100910,10/08 - client changes,South,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,,Nothing,"Yes, have cell phone",,,2,Not employed,Yes,Female,35,"Post graduate or professional schooling after college (including work towards an MA, MS, Ph.D., JD, DDS, or MD degree)",No,White,"$75,000 to under $100,000",Yes/yesterday,Yes/not yesterday,Yes/yesterday,$75K+,Dual,Dual HH,35-44,Coll+,White~Hisp,3.588235294,1.139986556
101023,Landline,100910,10/08 - client changes,South,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,1,,5,"Yes, have cell phone",,,2,Employed part-time,Yes,Female,44,"College or university graduate (BA, BS or other four-year degree received)",No,(DO NOT READ) Don’t know/Refused,"$75,000 to under $100,000",No,Yes/yesterday,Yes/yesterday,$75K+,Dual,Dual HH,35-44,Coll+,DK/Ref,3.294117647,1.046545035
101041,Landline,100910,10/08 - client changes,Midwest,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,,1,"Yes, have cell phone",,,2,Employed full-time,No,Female,63,"College or university graduate (BA, BS or other four-year degree received)",No,White,"$100,000 to under $150,000",Yes/not yesterday,Yes/not yesterday,No,$75K+,Dual,Dual HH,55-64,Coll+,White~Hisp,1.352941177,0.429830996
101158,Landline,101010,10/08 - client changes,Northeast,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,1,100,10,"Yes, have cell phone",,,2,Employed full-time,Yes,Male,44,"Post graduate or professional schooling after college (including work towards an MA, MS, Ph.D., JD, DDS, or MD degree)",No,White,"$100,000 to under $150,000",Yes/yesterday,Yes/not yesterday,No,$75K+,Dual,Dual HH,35-44,Coll+,White~Hisp,3.235294118,1.02785673
101169,Landline,100910,10/08 - client changes,West,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,10,"Yes, have cell phone",,,2,Employed full-time,No,Female,28,"Post graduate or professional schooling after college (including work towards an MA, MS, Ph.D., JD, DDS, or MD degree)",No,White,"$50,000 to under $75,000",Yes/not yesterday,Yes/yesterday,No,$50K-LT $75K,Dual,Dual HH,25-34,Coll+,White~Hisp,2.470588235,0.784908776
101172,Landline,100910,10/08 - client changes,West,Urban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,1,,Nothing,"Yes, have cell phone",,,3,Employed full-time,No,Female,48,"Technical, trade or vocational school AFTER high school",Yes,White,"$50,000 to under $75,000",Yes/not yesterday,No,No,$50K-LT $75K,Dual,Dual HH,45-54,HS grad,Hispanic,4.529411765,1.438999423
200002,Cell,100710,Initial Version,South,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,1,,Don’t know,,,"No, no home telephone",Don’t know/Refused (VOL.),Employed full-time,No,Male,39,"High school graduate, Grade 12, or GED certificate",No,Asian or Pacific Islander,"$30,000 to under $40,000",Yes/yesterday,Yes/yesterday,Yes/yesterday,$30K-LT $50k,CPO,CPO HH,35-44,HS grad,Other~Hisp,8.176470588,2.597674282
200040,Cell,100710,Initial Version,West,Urban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,No,Yes,Yes,Yes,(DO NOT READ) Don’t know,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,1,60,10,,,"No, no home telephone",2,(VOL.) Student,No,Male,25,"Some college or university work, but no four-year degree",Yes,White,"$20,000 to under $30,000",Yes/not yesterday,Yes/yesterday,No,Under $30K,CPO,CPO HH,25-34,Some coll,Hispanic,8.176470588,2.597674282
200055,Cell,100710,Initial Version,West,Urban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,150,50,,,"Yes, has a home telephone",2,Employed full-time,Yes,Female,57,"Post graduate or professional schooling after college (including work towards an MA, MS, Ph.D., JD, DDS, or MD degree)",No,White,"$75,000 to under $100,000",No,Yes/yesterday,No,$75K+,Dual,Dual HH,55-64,Coll+,White~Hisp,1.470588235,0.467207605
200079,Cell,100710,Initial Version,Northeast,Urban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,30,,,"No, no home telephone",2,Employed full-time,No,Female,25,"College or university graduate (BA, BS or other four-year degree received)",Yes,Other (SPECIFY),"$40,000 to under $50,000",No,Yes/yesterday,Yes/not yesterday,$30K-LT $50k,CPO,CPO HH,25-34,Coll+,Hispanic,7.941176471,2.522921066
200086,Cell,100710,Initial Version,South,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,1,,12,,,"Yes, has a home telephone",1,Employed full-time,No,Female,26,"College or university graduate (BA, BS or other four-year degree received)",No,Black or African-American,"$40,000 to under $50,000",Yes/not yesterday,Yes/yesterday,No,$30K-LT $50k,Dual,Dual HH,25-34,Coll+,AA~Hisp,1,0.317701171
200091,Cell,100710,Initial Version,Northeast,Urban,Yes,Yes,1,"Yes, used the internet yesterday",No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,1,,Nothing,,,"No, no home telephone",2,Employed full-time,No,Female,29,"Post graduate or professional schooling after college (including work towards an MA, MS, Ph.D., JD, DDS, or MD degree)",No,Native American/American Indian,"$10,000 to under $20,000",No,Yes/yesterday,No,Under $30K,CPO,CPO HH,25-34,Coll+,Other~Hisp,4.294117647,1.364246206
200106,Cell,100710,Initial Version,South,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,1,,20,,,"No, no home telephone",2,Employed full-time,No,Male,40,"Some college or university work, but no four-year degree",No,Black or African-American,"$75,000 to under $100,000",No,Yes/yesterday,Yes/yesterday,$75K+,CPO,CPO HH,35-44,Some coll,AA~Hisp,4.058823529,1.289492989
200134,Cell,100710,Initial Version,Northeast,Urban,Yes,Yes,1,"No, did not use the internet yesterday",Yes,No,No,No,No,No,No,No,No,(DO NOT READ) Don’t know,No,No,No,No,No,No,No,(DO NOT READ) Don’t know,No,1,,Nothing,,,"Yes, has a home telephone",2,Employed full-time,Yes,Male,56,"College or university graduate (BA, BS or other four-year degree received)",No,White,"$40,000 to under $50,000",Yes/not yesterday,No,No,$30K-LT $50k,Dual,Dual HH,55-64,Coll+,White~Hisp,2.117647059,0.672778951
200173,Cell,100710,Initial Version,Northeast,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,1,,2,,,"No, no home telephone",2,Employed full-time,No,Female,22,High school incomplete (Grades 9-11),No,White,"$20,000 to under $30,000",Yes/not yesterday,Yes/yesterday,No,Under $30K,CPO,CPO HH,18-24,LT HS,White~Hisp,8.176470588,2.597674282
200198,Cell,100710,Initial Version,Northeast,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,1,150,Nothing,,,"Yes, has a home telephone",2,Employed full-time,Yes,Male,40,"College or university graduate (BA, BS or other four-year degree received)",No,White,"$100,000 to under $150,000",Yes/yesterday,Yes/not yesterday,No,$75K+,Dual,Dual HH,35-44,Coll+,White~Hisp,3.352941177,1.065233339
200213,Cell,100910,10/08 - client changes,West,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,1,100,5,,,"No, no home telephone",2,Not employed,No,Female,20,"Some college or university work, but no four-year degree",Yes,White,"$100,000 to under $150,000",Yes/not yesterday,Yes/not yesterday,No,$75K+,CPO,CPO HH,18-24,Some coll,Hispanic,5.235294118,1.663259073
